system   D            wsystem.c:583  maybe_parent_dir                 [   0.03011] Also searching C:\Users\Marcin\Documents\SGD\lab\Maze2\
display  D   display_settings.c:486  _al_score_display_settings       [   0.14339] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14341] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14342] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14343] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14344] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14346] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14348] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14350] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14351] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14353] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14355] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14356] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14357] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14359] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14361] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14362] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14364] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14365] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14366] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14367] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14369] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14370] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14372] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14373] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14375] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14377] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14378] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14380] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14382] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14383] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14385] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14387] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14388] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14389] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14390] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14392] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14393] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14395] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14396] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14398] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14399] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14401] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14403] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14404] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.14406] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14408] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14409] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14412] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14413] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14414] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14416] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14417] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14418] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14420] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14421] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14423] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14424] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14426] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14428] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14429] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14431] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14433] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14434] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14436] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14438] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14439] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14441] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14442] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14443] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14445] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14446] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14447] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14452] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14454] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14456] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14458] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14459] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14461] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14463] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14464] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14466] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14467] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14468] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14470] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14471] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14472] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14474] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14476] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14477] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.14479] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14481] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14483] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14484] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14486] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14488] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14489] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14490] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14492] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14493] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14494] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14495] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14497] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14498] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14500] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14502] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14504] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14505] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14507] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14509] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14511] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14513] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14515] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14516] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14517] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14519] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14520] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14521] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14522] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14524] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14525] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14527] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14529] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14530] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14532] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14534] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14536] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14537] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14539] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14541] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14543] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14545] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14547] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14549] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14550] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14552] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14554] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14556] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14558] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14560] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14562] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14563] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14565] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14567] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14569] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14571] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14573] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14574] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14576] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14578] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14580] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14582] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14584] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.14586] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14588] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14590] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14592] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14598] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14603] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14607] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14609] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14613] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14619] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14621] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14622] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14624] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14626] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14628] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14630] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14632] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14634] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14636] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14637] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14639] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14641] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14642] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14644] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14646] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14647] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14649] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14650] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14652] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14653] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14654] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14656] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14657] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14659] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14660] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14662] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14664] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14666] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14668] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14669] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14671] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14673] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14674] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14675] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14677] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14678] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14679] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14681] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14682] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14684] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14685] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14687] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14689] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14690] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14692] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.14694] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14696] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14698] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14699] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14701] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14702] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14707] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14708] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14710] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14712] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14714] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14716] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14717] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14719] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14721] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14722] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14724] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14726] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14727] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14729] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14730] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14731] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14733] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14734] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14736] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14738] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14740] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14742] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14743] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14745] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14747] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14748] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14750] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14752] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14754] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14755] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14756] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14758] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14759] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14760] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14762] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14763] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14765] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14767] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14769] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14770] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14772] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.14774] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.14776] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.14778] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.14780] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.14781] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.14782] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.14784] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.14785] Score is : 585
